City;Latitude;Longitude
Алейск;52.4922513;82.7793606
Барнаул;53.3479968;83.7798064
Белокуриха;51.996152;84.9839604
Бийск;52.5393864;85.2138453
Горняк;50.9979622;81.4643358
Заринск;53.7063476;84.9315081
Змеиногорск;51.1581094;82.1872547
Камень-на-Оби;53.7913974;81.3545053
Новоалтайск;53.4119759;83.9311069
Рубцовск;51.5012067;81.2078695
Славгород;52.999463;78.6459232
Яровое;52.9252146;78.5729775
Белогорск;50.9213415;128.4739471
Благовещенск;50.290659;127.527198
Завитинск;50.1064111;129.4391813
Зея;53.7340088;127.265787
Райчихинск;49.7941615;129.4112492
Свободный;51.3614103;128.1219729
Сковородино;53.9871095;123.9437205
Тында;55.1546441;124.7468904
Циолковский;51.762481;128.1219846
Шимановск;52.0051886;127.7005458
Архангельск;64.5394289;40.5169606
Вельск;61.066;42.1032789
Каргополь;61.5009724;38.9636966
Коряжма;61.2885948;47.1003015
Котлас;61.2528972;46.633242
Мезень;65.8398078;44.2532273
Мирный;62.7645265;40.3360076
Нарьян-Мар;67.63777777777779;53.00666666666667
Новодвинск;64.4136851;40.8208143
Няндома;61.6654674;40.2062947
Онега;63.9162928;38.0805031
Северодвинск;64.5625385;39.8180934
Сольвычегодск;61.3319616;46.920441
Шенкурск;62.1057272;42.8996973
Астрахань;46.3655652;48.0559236
Ахтубинск;48.2752034;46.1906462
Знаменск;48.5866291;45.7368019
Камызяк;46.110579;48.07333
Нариманов;46.6916565;47.8502476
Харабали;47.408999;47.2525345
Алексеевка;50.6299647;38.6880342
Белгород;50.5976472;36.5856652
Бирюч;50.6484585;38.4005083
Валуйки;50.2111207;38.0998772
Грайворон;50.4862958;35.6663877
Губкин;51.2837123;37.5347759
Короча;50.8129041;37.1896436
Новый Оскол;50.7633747;37.8775484
Старый Оскол;51.2967101;37.8350182
Строитель;50.7845099;36.4887648
Шебекино;50.4004883;36.8877889
Брянск;53.2419535;34.3652146
Дятьково;53.5958178;34.3551812
Жуковка;53.5340397;33.7302579
Злынка;52.4267015;31.7360399
Карачев;53.1296524;34.9888727
Клинцы;52.7529119;32.233911
Мглин;53.0599771;32.8468129
Новозыбков;52.537173;31.9357991
Почеп;52.9154851;33.4744058
Севск;52.1483358;34.4918415
Сельцо;53.3739884;34.1059172
Стародуб;52.5852257;32.760403
Сураж;53.0170888;32.3938878
Трубчевск;52.5791734;33.7660547
Унеча;52.8461199;32.6757629
Фокино;53.4554145;34.4159238
Александров;56.391819;38.7111123
Владимир;56.1280804;40.4084376
Вязники;56.29773;42.2687398
Гороховец;56.2021036;42.6926111
Гусь-Хрустальный;55.6198751;40.6579929
Камешково;56.3490152;40.9955183
Карабаново;56.3131822;38.7034257
Киржач;56.1486863;38.8635701
Ковров;56.3554349;41.3170576
Кольчугино;56.3327254;39.391336
Костерево;55.9337222;39.6247398
Курлово;55.452698;40.6124108
Лакинск;56.0180587;39.956551
Меленки;55.3387515;41.6340046
Муром;55.5630311;42.0231362
Петушки;55.9298134;39.4508075
Покров;55.9166398;39.1734526
Радужный;55.9960277;40.3321855
Собинка;55.9939169;40.0179653
Струнино;56.3749967;38.5839667
Судогда;55.9498056;40.8562939
Суздаль;56.4274441;40.4525692
Юрьев-Польский;56.4937757;39.6680539
Волгоград;48.7070042;44.5170339
Волжский;48.7978209;44.7462538
Дубовка;49.0554742;44.8270085
Жирновск;50.9768814;44.7858202
Калач-на-Дону;48.6889024;43.5306303
Камышин;50.0651529;45.3844202
Котельниково;47.6310259;43.1330872
Котово;50.3205766;44.8030699
