City;Latitude;Longitude
Брянск;53.314;34.637
Владимир;56.1341;40.4066
Волгоград;48.7080;44.5133
Воронеж;51.6608;39.1977
Екатеринбург;56.8389;60.6057
Ижевск;56.8519;53.2042
Казань;55.7895;49.1221
Калуга;54.5121;36.2758
Кузнецк;52.4970;45.6840
Липецк;52.6027;39.5766
Москва;55.7569;37.6151
Набережные Челны;55.7284;52.4084
Нижнекамск;55.6193;51.9750
Нижний Новгород;56.3285;43.9718
Новомосковск;54.4798;38.0408
Пенза;53.1945;45.0152
Пермь;58.0105;56.2503
Подольск;55.5270;37.5440
Рязань;54.6388;39.7373
Самара;53.2007;50.1511
Саранск;54.1787;45.1758
Саратов;51.5420;46.0095
Сызрань;53.1711;48.4708
Тамбов;52.7306;41.4525
Тольятти;53.5300;49.3350
Тула;54.1933;37.6167
Ульяновск;54.3140;48.3880
Уфа;54.7388;55.9721
Чебоксары;56.1246;47.2515
Ярославль;57.6261;39.8845
