продукт;сладость;хруст;белки;жиры;углеводы;класс
Яблоко;7;7;0.3;0.2;13.8;Фрукт
салат;2;5;1.0;0.1;2.8;Овощ
бекон;1;2;12.0;40.0;1.0;Протеин
банан;9;1;1.1;0.3;22.8;Фрукт
орехи;1;5;21.0;50.0;22.0;Протеин
рыба;1;1;20.0;15.0;0.0;Протеин
сыр;1;1;25.0;30.0;2.0;Протеин
виноград;8;1;0.7;0.2;17.0;Фрукт
морковь;2;8;0.9;0.2;9.6;Овощ
апельсин;6;1;0.9;0.1;11.8;Фрукт
груша;7;6;0.4;0.1;15.2;Фрукт
клубника;9;3;0.7;0.3;7.7;Фрукт
киви;6;8;1.1;0.5;14.7;Фрукт
персик;8;4;0.9;0.3;9.5;Фрукт
ананас;8;5;0.5;0.1;13.1;Фрукт
арбуз;9;2;0.6;0.2;8.1;Фрукт
манго;9;3;0.8;0.4;15.0;Фрукт
лимон;2;4;1.1;0.3;9.3;Фрукт
помидор;4;6;0.9;0.2;3.9;Овощ
огурец;1;9;0.7;0.1;3.6;Овощ
капуста;1;7;1.3;0.1;5.8;Овощ
брокколи;1;6;2.8;0.4;7.0;Овощ
картофель;3;4;2.0;0.1;17.5;Овощ
свекла;4;5;1.6;0.2;9.6;Овощ
лук;2;7;1.1;0.1;9.3;Овощ
перец болгарский;3;8;1.0;0.2;6.0;Овощ
кукуруза;6;4;3.3;1.2;18.7;Овощ
тыква;5;3;1.0;0.1;7.0;Овощ
кабачок;2;6;1.2;0.3;3.1;Овощ
курица;1;2;23.0;5.0;0.0;Протеин
говядина;1;3;26.0;15.0;0.0;Протеин
свинина;1;2;20.0;20.0;0.0;Протеин
яйцо;1;3;13.0;11.0;1.0;Протеин
тунец;1;2;25.0;8.0;0.0;Протеин
креветки;1;4;24.0;1.0;0.5;Протеин
тофу;2;3;15.0;8.0;3.0;Протеин
миндаль;2;8;21.0;50.0;22.0;Протеин
грецкий орех;1;6;15.0;65.0;14.0;Протеин
фисташки;2;7;20.0;45.0;28.0;Протеин
семена чиа;1;5;17.0;31.0;42.0;Протеин
авокадо;3;5;2.0;15.0;9.0;Фрукт
малина;8;4;1.2;0.7;11.9;Фрукт
черника;7;3;0.7;0.3;14.5;Фрукт
