продукт;сладость;хруст;класс
Яблоко;7;7;Фрукт
салат;2;5;Овощ
бекон;1;2;Протеин
банан;9;1;Фрукт
орехи;1;5;Протеин
рыба;1;1;Протеин
сыр;1;1;Протеин
виноград;8;1;Фрукт
морковь;2;8;Овощ
апельсин;6;1;Фрукт
груша;7;6;Фрукт
клубника;9;3;Фрукт
киви;6;8;Фрукт
персик;8;4;Фрукт
ананас;8;5;Фрукт
арбуз;9;2;Фрукт
манго;9;3;Фрукт
лимон;2;4;Фрукт
помидор;4;6;Овощ
огурец;1;9;Овощ
капуста;1;7;Овощ
брокколи;1;6;Овощ
картофель;3;4;Овощ
свекла;4;5;Овощ
лук;2;7;Овощ
перец болгарский;3;8;Овощ
кукуруза;6;4;Овощ
тыква;5;3;Овощ
кабачок;2;6;Овощ
курица;1;2;Протеин
говядина;1;3;Протеин
свинина;1;2;Протеин
яйцо;1;3;Протеин
тунец;1;2;Протеин
креветки;1;4;Протеин
тофу;2;3;Протеин
миндаль;2;8;Протеин
грецкий орех;1;6;Протеин
фисташки;2;7;Протеин
семена чиа;1;5;Протеин
авокадо;3;5;Фрукт
малина;8;4;Фрукт
черника;7;3;Фрукт
вишня;8;4;Фрукт
слива;7;5;Фрукт
грейпфрут;4;4;Фрукт
редис;1;9;Овощ
сельдерей;1;8;Овощ
шпинат;1;6;Овощ
фасоль стручковая;2;7;Овощ
баклажан;2;5;Овощ
цветная капуста;2;6;Овощ
горох;4;5;Овощ
индейка;1;3;Протеин
лосось;1;2;Протеин
творог;1;2;Протеин
гречка;2;3;Протеин
чечевица;1;4;Протеин
соевые бобы;2;4;Протеин
фундук;1;7;Протеин
семена подсолнечника;2;6;Протеин
мандарин;8;2;Фрукт
дыня;9;2;Фрукт
абрикос;8;3;Фрукт
хурма;6;4;Фрукт
гранат;5;6;Фрукт
спаржа;1;8;Овощ
руккола;1;6;Овощ
брюссельская капуста;2;9;Овощ
